Jitter (concurrent),OSPF (single-path),LDR (single-path),MinMax (single-path),LDR (multi-path),ECMP (multi-path)
Binary Tree,0.03 ms,-0.09 ms,-0.04 ms,-0.07 ms,0.17 ms
5-layered CLOS,17.29 ms,16.31 ms,17.08 ms,1.91 ms,-52.58 ms
B-Cube,-6.38 ms,-3.67 ms,-6.07 ms,14.13 ms,1.99 ms
Fat Tree,8.15 ms,8.14 ms,8.07 ms,-10.76 ms,-13.60 ms
Grid,6.49 ms,4.43 ms,5.06 ms,-4.07 ms,-11.90 ms
D-Cell,-0.22 ms,-0.12 ms,-0.10 ms,-5.01 ms,5.44 ms
Bipartite,2.85 ms,2.82 ms,2.89 ms,-3.44 ms,-5.13 ms
3-layered CLOS,-0.12 ms,0.09 ms,0.04 ms,-2.98 ms,2.98 ms
Triangle,3.15 ms,7.22 ms,2.28 ms,2.99 ms,-15.64 ms
All,3.47 ms,3.90 ms,3.24 ms,-0.81 ms,-9.81 ms
